Product Name,Description,Quantity,Unit Price($),Total Price($),URL
ESP32-WROOM-32 Dev Board,WiFi + BLE Microcontroller,1,4.06,4.06,https://robocraze.com/products/nodemcu-32-wifi-bluetooth-esp32-development-board30-pin?_pos=2&_sid=ab8e5f3b9&_ss=r
Capacitive Soil Moisture Sensor v1.2,Soil Moisture Sensor,1,0.65,0.65,https://www.flipkart.com/ziobotics-5v-soil-moisture-sensor-module-pack-1-plant-monitoring-smart-irrigation-electronic-components-hobby-kit/p/itm347f17fdb44c8?pid=EHKHHTAS4ZHC59YJ&lid=LSTEHKHHTAS4ZHC59YJWXKVNX&marketplace=FLIPKART&cmpid=content_electronic-hobby-kit_8965229628_gmc
AHT20,Temperature Sensor,1,1.34,1.34,https://robocraze.com
GY-302 BH1750,Light Intensity Sensor,1,1.42,1.42,https://robocraze.com/products/gy-302-bh1750-light-intensity-module?_pos=1&_sid=4a6498e1f&_ss=r
0.96' OLED,Display,1,1.69,1.69,https://robocraze.com/products/0-96in-oled-display-module-4pin?_pos=1&_sid=8ccd9ded7&_ss=r
18650 Li-ion Battery,Battery,1,0.73,0.73,https://robocraze.com/products/3-7v-2000mah-18650-li-ion-battery?_pos=1&_sid=a3bd80eec&_ss=r
18650 Li-ion Battery Holder,Battery Holder,1,0.17,0.17,https://robocraze.com/products/18650-1-cell-holder?_pos=2&_sid=ca0d8ced4&_ss=r
TP4056 Charging Module,USB-C Backup Charger Module,1,0.15,0.15,https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1?_pos=1&_sid=ff6fa955d&_ss=r
CN3065 Solar Charger Board,Dedicated Solar MPPT Management,1,0.88,0.88,https://robu.in/product/mini-solar-lipo-charger-board/?gad_source=1&gad_campaignid=17427802559&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTrqEfuXY4awH3VyYuVZE0MqDIf0U2w6fKcRSmSx0MZZSdUPf4u8ovBoCanAQAvD_BwE
HT7333-A LDO Regulator,Ultra-Low Power 3.3V Regulator,1,0.48,0.48,https://robu.in/product/ht7333-a-holtek-semicon-250ma-fixed-3-3v-positive-electrode-12v-sot-89-3-voltage-regulators-linear-low-drop-out-ldo-regulators-rohs/
16V Radial Electrolytic Capacitor (470uF),Wi-Fi Power Spike Smoother,1,0.18,0.18,https://robu.in/product/16yxf470mffc10x12-5-rubycon-470uf-16v-160mω100khz-±20-580ma100khz-plugind10xl12-5mm-aluminum-electrolytic-capacitors-leaded-rohs/?gad_source=1&gad_campaignid=17427802703&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTvH9UC0NthB1u3PRk9qADckyK_ogm1ST4a8vJpBcmaIFIa-24y61_RoCs7QQAvD_BwE
10k Ohm Quarter Watt Resistors,Pull-up & LDR Voltage Divider,1,0.14,0.14,https://robocraze.com/products/10k-resistor-pack-of-10?_pos=1&_sid=c78a5a957&_ss=r
220 Ohm Quarter Watt Resistors,RGB LED Current Limiters,1,0.095,0.095,https://robocraze.com/products/220-ohm-resistor-pack-of-10?_pos=1&_sid=8a82cca51&_ss=r
5V - 2W Solar Panel,Solar Panel,1,0.98,0.98,https://quartzcomponents.com/products/portable-mini-solar-panel-1-1w-6v-180ma-99-x-69mm?variant=44789436252394&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTirb0NuFgo9nghTK3xjV0bL28-4gP2oOd8HLquRfaIGT_3NA579thRoC37gQAvD_BwE
Male to Female Jump Wires,Wires,1,0.45,0.45,https://robocraze.com/products/f2m-jumper-wires-20cm-40pcs?variant=40192519110809&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22124708836&gclid=CjwKCAjw0dPRBhAPEiwAE5vTToUwIqsTW6CnVgV1sg6zP3ZXbUPKgFUW85f3td3Mj9LsR7aw4_Zg9xoC6kIQAvD_BwE
Male to Male Jump Wires,Wires,1,0.49,0.49,https://robocraze.com/products/m2m-jumper-wires-20cm-40pcs?_pos=1&_sid=2e3cb64b0&_ss=r
Female to Female Jump Wires,Wires,1,0.45,0.45,https://robocraze.com/products/f2f-jumper-wires-20cm-40pcs?_pos=1&_sid=51c4faba8&_ss=r
M3 X 5 mm Brass Heat Threaded Round Insert Nut,Heat-Set Inserts,10,0.025,0.25,https://onlyscrews.in/products/m3-x-5mm-brass-threaded-inserts-dia-3mm-length-5mm?currency=INR&country=IN&variant=50139409973561&stkn=6e84ebfba1b8&srsltid=AfmBOorzf0lDNqnlxLocSdsdBnqKP_MqdXCDyI7gYWqrGHOivLdD1NqiSdQ
M3 x 8mm Button Head Screws,Enclosure Assembly Fasteners,10,0.028,0.28,https://onlyscrews.in/products/m3-x-8mm-hex-allen-button-head-hight-tensile10-9-black-oxide-screw-dia-3mm-length-8mm?currency=INR&country=IN&variant=49994660217145&stkn=6e84ebfba1b8&utm_campaign=sales_shopping_pfmax&gad_source=1&gad_campaignid=23146719598&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTp1CyQIEYIeM8-tWbX24uqknAbH2x-VQS8BKWs9c4CzBBFQIp6u0XRoCYtQQAvD_BwE
3d Printed Enclosure,Custom Enclosure,1,3.50,3.50,forms.hackclub.com/print-legion-signup
Total,,,,18.385,